"","district","upazila","union","date","hpa_id","demo_gender","demo_educ","license","license_who","invest_amnt","invest_self","invest_bank","invest_mfi","invest_family","invest_partner","revenue","train_yn","train_maxwashi","train_maxwashii","train_wb","train_ide","train_asa","train_other","serv_growth","serv_businessmodel","serv_ancpnc","serv_other","mou_le","mou_wholesaler"
"146","Barguna",409,40923,2018-07-01,185,"F","Higher",0,NA,12000,1,0,1,0,0,20000,1,1,0,0,0,0,0,1,0,1,1,1,0
"147","Patuakhali",7857,785739,2018-07-01,186,"F","Higher",0,NA,8000,1,0,0,0,0,7000,1,1,1,0,0,0,0,1,1,1,1,1,0
"148","Khulna",4730,473081,2018-07-01,188,"F","Secondary",0,NA,1000,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"149","Khulna",4730,473033,2018-07-01,189,"F","Secondary",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"150","Satkhira",8704,870434,2018-07-01,190,"F","Secondary",0,NA,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0
"151","Khulna",4730,473027,2018-07-01,191,"F","Higher",0,NA,1000,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1
"152","Patuakhali",7895,789567,2018-07-01,192,"F","Secondary",0,NA,1200,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"153","Khulna",4712,471235,2018-07-01,194,"F","Secondary",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0
"154","Satkhira",8704,870434,2018-07-01,195,"F","Secondary",0,NA,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"155","Satkhira",8743,874347,2018-07-01,196,"F","Higher",0,NA,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"156","Patuakhali",7857,785737,2018-07-01,197,"F","Primary",0,NA,1500,1,0,0,0,0,1000,1,1,1,0,0,0,0,1,1,1,0,1,0
"157","Jessore",4138,413876,2018-07-01,198,"F","Secondary",0,NA,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"158","Khulna",4712,471283,2018-07-01,199,"F","Secondary",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"159","Patuakhali",7895,789510,2018-07-01,200,"F","Secondary",0,NA,3000,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0
"160","Patuakhali",7895,789527,2018-07-01,201,"F","Higher",0,NA,2000,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"161","Khulna",4730,473094,2018-07-01,203,"F","Secondary",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"162","Patuakhali",7852,785242,2018-07-01,205,"F","Secondary",0,NA,1000,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"163","Satkhira",8782,878254,2018-07-01,206,"F","Secondary",0,NA,10000,0,0,1,0,0,2e+05,1,0,1,0,0,0,1,1,1,1,1,1,0
"164","Satkhira",8743,874387,2018-07-01,207,"F","Secondary",0,NA,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"165","Patuakhali",7857,785767,2018-07-01,208,"F","Secondary",0,NA,1000,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"166","Patuakhali",7897,789734,2018-07-01,210,"F","Secondary",0,NA,5000,1,0,0,0,0,6500,1,1,1,0,0,0,0,1,1,1,0,1,0
